problem_id,problem_description,problem_paper,problem_year,facts_id,fact_description,匹配_x,cases_id,case_description,匹配_y
1484,如何构建数字空间的政府形态，实现从工业文明下的业务驱动职能分化向数字文明下的需求驱动协同整合、数据驱动问题解决的转变？,“数字空间”政府及其研究纲领——第四次工业革命引致的政府形态变革,2020,1484_5,中国5G技术在2019年已实现地市级城市全覆盖，推动医疗、工业、物联网等领域升级。,1,1484_1,广东省“数字政府”改革建设，通过“粤省事”“粤商通”“粤政易”平台打通数据壁垒，实现政务服务指尖化，累计业务量超4亿次，访问超34亿次，实名用户达2372万。,1
1807,基层政府在持续增压情境下如何选择并调整行动策略完成上级任务？,“应势而动”：持续增压情境下基层政府如何完成任务？——基于X市A镇推进新冠疫苗接种工作的案例研究,2022,1807_1,X市A镇总面积27平方公里，2021年末总人口约40万，为B区人口规模最大的街镇,1,1807_2,A镇第二阶段运动执行：成立作战参谋部、开展‘三扫’行动并通过‘三色榜’考核机制推动辖区单位完成指标,1
1807,基层政府在持续增压情境下如何选择并调整行动策略完成上级任务？,“应势而动”：持续增压情境下基层政府如何完成任务？——基于X市A镇推进新冠疫苗接种工作的案例研究,2022,1807_1,X市A镇总面积27平方公里，2021年末总人口约40万，为B区人口规模最大的街镇,1,1807_3,A镇第三阶段迂回执行：实施有奖问答、‘抗疫小卫士’活动等创新措施吸引辖区外居民接种,1
371,如何突破社区建设研究中行政主导与社会自治的二元对立关系，形成一般性理论框架,中国城市社区建设研究述评（2000--2010年）——以CSSCI检索论文为主要研究对象,2012,371_2,2001-2005年'社区建设'与'社区治理'相关论文数量增长至733篇，2006-2010年达1733篇,1,371_2,上海模式作为行政导向的社会整合案例，展示政府强化基层功能进行自上而下整合的路径,1
371,如何突破社区建设研究中行政主导与社会自治的二元对立关系，形成一般性理论框架,中国城市社区建设研究述评（2000--2010年）——以CSSCI检索论文为主要研究对象,2012,371_2,2001-2005年'社区建设'与'社区治理'相关论文数量增长至733篇，2006-2010年达1733篇,1,371_1,沈阳模式与江汉模式作为自治导向的社区整合案例，体现政府下放权力建立社区自治组织的实践,1
488,“扩权强县”改革对扩权县与未扩权县之间的县域经济和财政收入影响是否存在显著差异？,“扩权强县”改革效果的比较研究——以浙江省县政扩权为样本,2013,488_4,扩权县第二产业产值对财政收入的弹性系数为0.421（t=3.15），弱县同指标弹性系数达0.683（t=5.22）。,1,488_1,浙江省2002年扩权改革将17个经济强县和3个区确定为扩权对象，具体扩权条款从4项增至313项，涉及经济管理权限下放，要求市级保留事项须经省审批制度改革办公室核准。,1
2188,数字政府供给侧标准缺失导致政务服务质量参差不齐,标准化治理何以推进高质量数字政府建设——基于广东省“粤省事”政府服务平台案例研究,2024,2188_5,'粤省事'建立数据资源'一网共享'平台并配套责任分工,1,2188_1,广东省'粤省事'平台通过2400余项政务服务标准化改造，实现跨层级业务协同,1
2188,数字政府供给侧标准缺失导致政务服务质量参差不齐,标准化治理何以推进高质量数字政府建设——基于广东省“粤省事”政府服务平台案例研究,2024,2188_5,'粤省事'建立数据资源'一网共享'平台并配套责任分工,1,2188_3,公积金贷款业务通过系统标准化改造实现'粤智助'一体机跨域通办,1
1847,在缺乏上级政策明确导向情境下，县域政府如何在‘城镇化洼地’和‘收缩型城市’双重约束条件下实现‘人的城镇化’过程中‘理性扩张’与‘精明收缩’的平衡,领导力、主动作为与收缩型城市治理——县域政府推进“人的城镇化”的启示,2022,1847_2,青冈县2015年地区生产总值57.9亿元，较‘十一五’末增长2.1倍；2018年建立四大产业园区吸纳就业1.05万人,1,1847_2,青冈县通过县委书记与上级领导私人关系网络，突破教育资源配置竞争劣势，成功争取S大学附中分校落户，建立实验中学并实现重点本科升学率全市首位,1
571,城镇生活适应性、技能型收益和精神收益等非经济因素如何影响农村劳动力转移决策？,城镇适应性、技能型收益、精神收益与农村劳动力转移——基于2291份调查问卷的实证分析,2013,571_5,城镇生活适应性因子通过'有没有被歧视的感觉或经历'构建替代变量,1,571_3,李晓春和马轶群、姚先国和赖普清、程名望等分别研究了户籍制度等制度因素对农民工就业行为的限制作用,1
571,城镇生活适应性、技能型收益和精神收益等非经济因素如何影响农村劳动力转移决策？,城镇适应性、技能型收益、精神收益与农村劳动力转移——基于2291份调查问卷的实证分析,2013,571_5,城镇生活适应性因子通过'有没有被歧视的感觉或经历'构建替代变量,1,571_1,孙永正对苏南某企业226位农民工的调查显示，'同事关系和领导认可'、'工作环境'等非经济因素对农民工就业有显著影响,1
571,城镇生活适应性、技能型收益和精神收益等非经济因素如何影响农村劳动力转移决策？,城镇适应性、技能型收益、精神收益与农村劳动力转移——基于2291份调查问卷的实证分析,2013,571_5,城镇生活适应性因子通过'有没有被歧视的感觉或经历'构建替代变量,1,571_2,Nielsen等人使用个人福利指数(PWI)研究福建省进城农民工的幸福感，发现务工的精神收益和城市适应性是重要决策因素,1
1253,数据与城市治理如何耦合？如何实现从数据采集到数据应用和数据决策的全过程？,数据驱动的城市精细化治理：特征、要素与系统耦合,2018,1253_4,2017年12月中国非网民规模为6.11亿，其中城市非网民占比未明确,1,1253_3,北京智慧城市战略通过互联网平台整合分散治理与全局把控，实现点对点精准服务,1
1253,数据与城市治理如何耦合？如何实现从数据采集到数据应用和数据决策的全过程？,数据驱动的城市精细化治理：特征、要素与系统耦合,2018,1253_4,2017年12月中国非网民规模为6.11亿，其中城市非网民占比未明确,1,1253_5,贵州'扶贫云'平台整合多终端数据实现贫困人口精准定位与360度监测评估,1
1253,数据与城市治理如何耦合？如何实现从数据采集到数据应用和数据决策的全过程？,数据驱动的城市精细化治理：特征、要素与系统耦合,2018,1253_4,2017年12月中国非网民规模为6.11亿，其中城市非网民占比未明确,1,1253_4,成都智慧城市通过垃圾运输车辆、照明设施、桥梁检测等数据源分析，实施'互联网+公厕'计划,1
913,如何准确分解社会经济地位各维度（收入、教育、职业、工作状况）对医疗服务利用不平等的相对贡献,社会经济地位变迁与医疗服务利用不平等：2000—2011,2016,913_1,2000-2011年我国居民医疗服务利用基尼系数始终高于0.86,1,913_2,按职业类型分组的医疗服务利用不平案例：农民/渔民/猎人组对不平等的贡献率是其他职业组的4倍,1
2071,政策组合复杂程度与政策效能的基本关系模式尚未明确界定,政策组合复杂程度如何影响政策效能——基于新能源汽车推广的分析,2024,2071_1,政策组合复杂程度的八个维度包括政策工具数量、政策类型数量、政策领域数量、参与部门数量、多元政策区位、多元政策时序、多元政策目标、多元治理层级,1,2071_1,新能源汽车推广政策组合包含消费者补贴、减免购置税、充电设施建设、优先牌照等15项具体政策工具，覆盖交通、产业、财税等不同领域，涉及多部门协同实施,1
2198,面对双轨分离困境，下乡干部等外部治理主体以何种实践路径实现乡村治理的有效嵌入,嵌入式统合：新时代干部下乡优化乡村治理结构的实践逻辑,2024,2198_4,观村驻村干部包含国家公职人员、企事业单位职工、地方政府聘用人员等四类来源,1,2198_1,Z自治区观村驻村干部来源多样且存在多重治理主体，导致治理资源过密与协同失序,1
804,绩效管理与考核的制度体系设计存在脱离体制现状问题，表现为地方政府未摆脱'万能政府'束缚、预算管理粗放随意、目标决策'失约'现象普遍等。,实践者的困惑与期待——基于政府绩效管理与考核推行运用的现实思考,2015,804_1,现代公共管理理论发源于西方，具有特定背景差异。,1,804_2,'四数法'在经济发展指标考核中的应用案例，通过区域总数、历年基数、形势变数和相关参数的综合运用，提升绩效评价客观性。,1
1131,广东省地方治理现代化呈现技术现代化领先于制度现代化等特点是否具有可持续性？,地方治理创新与地方治理现代化——以广东省为例,2017,1131_2,珠三角地区申报项目数量为92项，山区5市申报11项，东翼6项，西翼5项,1,1131_3,惠州市推行村（居）聘任'法制副主任'制度，由政府购买法律服务化解基层矛盾,1
1916,多重制度逻辑冲突如何导致基层政策执行悬浮？,制度逻辑视角下基层政策执行“偏差”的形成机制——基于产业扶贫政策执行悬浮的分析,2023,1916_5,河村2018年制定《2019年发展壮大村级集体经济工作方案》，规划七项产业。,1,1916_1,河村采用‘公司+政府+村集体+能人+贫困户’模式发展乌鸡养殖，但因成本核算与市场规律冲突，公司资金链断裂后项目终止。,1
1821,应急任务对灾害应对全过程的组织网络结构、关系强度和密度等指标的内在驱动适应性机制是什么？,基于应急任务驱动的灾害应对组织网络适应性机制——以河南郑州“7.20”特大暴雨应对为例,2022,1821_1,2021年7月17日至23日河南省特大暴雨造成全省因灾死亡失踪398人，其中郑州市380人,1,1821_3,灾后恢复阶段建立以应急管理部门、卫生健康部门、通信管理局等为主体的协作网络，通过供电供水保障、通信恢复、卫生防疫、救灾捐赠等具体行动实现城市系统快速恢复,1
2180,影响政社合作模式的关键因素是什么？,政社合作模式的类型及其内在逻辑研究,2024,2180_2,2020年3月A市协调会显示政府无法为社会组织购买专业救援设备,1,2180_1,A救援协会与市应急管理局在一般社会意外事故救援中的象征式合作,1
2180,影响政社合作模式的关键因素是什么？,政社合作模式的类型及其内在逻辑研究,2024,2180_2,2020年3月A市协调会显示政府无法为社会组织购买专业救援设备,1,2180_2,B协会与市应急管理局在灾害信息员队伍建设中的行政式合作,1
1437,如何解决国防科技产业联盟中产业链主体连接关系与产学研主体连接关系的融合问题,国防科技产业联盟协同创新网络_结构与演化,2019,1437_3,国防科技产业联盟网络规模参数指直接参与的主体数量总和，包括国防工业企业、民口企业、科研院所、高校、金融机构和中介机构,1,1437_3,美国政府通过政策调整建立国防与民用技术转移通道，将国防技术向民用领域转化，化解过剩产能并促进竞争合作,1
206,中国地方政府创新的现实性问题，即各级地方政府的自我认定创新是否属于真正意义上的政府创新,过去10年的中国地方政府改革——基于中国地方政府创新奖的评价,2011,206_1,中国地方政府创新奖创办于2000年，五届共收集1552个申请项目,1,206_4,福建省厦门市思明区'公共部门绩效评估'项目，兼具学习型与原创型创新特征,1
1376,新一轮退耕还林能否实现促进贫困地区农户脱贫增收的政策预期，是否具备扶贫稳定性和多层次理论与现实检验基础,政策落实、农户参与和脱贫增收的山区治贫有效性研究,2019,1376_2,贵州省三大贫困山区实施退耕还林707.4万亩，带动4万余户贫困户人均增收2000元,1,1376_4,安顺市普定县一般贫困村种植艳红桃1717亩，因品种不适应自然条件导致市场价值偏低,1
1376,新一轮退耕还林能否实现促进贫困地区农户脱贫增收的政策预期，是否具备扶贫稳定性和多层次理论与现实检验基础,政策落实、农户参与和脱贫增收的山区治贫有效性研究,2019,1376_2,贵州省三大贫困山区实施退耕还林707.4万亩，带动4万余户贫困户人均增收2000元,1,1376_3,黔西南州册亨县贫困村种植'四月李'2215亩，因自然灾害导致绝收仍坚持管护,1
1376,新一轮退耕还林能否实现促进贫困地区农户脱贫增收的政策预期，是否具备扶贫稳定性和多层次理论与现实检验基础,政策落实、农户参与和脱贫增收的山区治贫有效性研究,2019,1376_2,贵州省三大贫困山区实施退耕还林707.4万亩，带动4万余户贫困户人均增收2000元,1,1376_6,黔西南州贞丰县深度贫困村流转土地种植芒果和百香果，农户仅获得土地流转收入与雇佣报酬,1
1376,新一轮退耕还林能否实现促进贫困地区农户脱贫增收的政策预期，是否具备扶贫稳定性和多层次理论与现实检验基础,政策落实、农户参与和脱贫增收的山区治贫有效性研究,2019,1376_2,贵州省三大贫困山区实施退耕还林707.4万亩，带动4万余户贫困户人均增收2000元,1,1376_1,毕节市纳雍县非贫困村种植'玛瑙红'樱桃，通过退耕扩大种植1000余亩，成立股份公司统筹规划，带动脱贫,1
817,传统的国家与社会关系给政府购买服务实践带来了什么样的后果？,竞争性与反向嵌入性：政府购买服务与社会组织发展,2015,817_2,研究共收集942个政府购买服务项目和356个承接组织的具体信息,1,817_1,上海南西社区金钥匙服务业发展中心：由街道政府主导成立的民办非企业单位，法人代表为退休政府官员，初期由街道提供办公场所和工作人员，后逐步扩大规模,1
817,传统的国家与社会关系给政府购买服务实践带来了什么样的后果？,竞争性与反向嵌入性：政府购买服务与社会组织发展,2015,817_2,研究共收集942个政府购买服务项目和356个承接组织的具体信息,1,817_3,上海复源社工师事务所：由复旦大学学院、民政局和管委会合作成立，法人代表为政府官员，兼具高校实践基地功能,1
817,传统的国家与社会关系给政府购买服务实践带来了什么样的后果？,竞争性与反向嵌入性：政府购买服务与社会组织发展,2015,817_2,研究共收集942个政府购买服务项目和356个承接组织的具体信息,1,817_2,上海市浦东新区老年协会：前身为南汇区老年协会，法人代表为退休人大副主任，在政府主导下形成区、街道、社区三级网络体系,1
817,传统的国家与社会关系给政府购买服务实践带来了什么样的后果？,竞争性与反向嵌入性：政府购买服务与社会组织发展,2015,817_2,研究共收集942个政府购买服务项目和356个承接组织的具体信息,1,817_5,上海佰瑞福为老健康服务中心：由保健品企业成立的民办非企业组织，承接普陀区多个养老健康服务项目,1
962,村庄民主治理与国家赋权在法律维度和现实维度的适应性难题如何解决？,国家赋权、村庄民主与土地产权的社会认同——基于农户的土地产权合法性、合理性和合意性认同,2016,962_1,1998-2008年间全国村庄土地调整频率从2.6次下降至1次（Wang等，2008）,1,962_3,江苏省二轮承包后仅30%农户经历土地调整，而江西样本区土地细碎化导致调整频率高，形成产权合理性认同与合意性认同的反向关系,1
978,当村级治理主体丧失时，乡镇行政如何借助联村制度超越派性斗争完成治理任务？,“联村制度”与利益密集型村庄的乡镇治理——以浙东S镇M村的实践为例,2016,978_1,S镇距离宁波市78.3公里，下辖24个行政村，流动人口18000人,1,978_2,M村环保评比中联村干部需亲自下村协调保洁员处理垃圾，并与村委委员共同应对突发检查,1
1183,中国公共行政学本土化研究可能的路径是什么,中国公共行政学本土化研究：现状与路径,2017,1183_1,1986年武汉大学、郑州大学设立行政管理学专业，同年部分高校开始招收行政管理学硕士,1,1183_2,韩国MBC新闻系列节目《超级中国》通过媒体视角展现中国发展成就，同时包含对中国崛起的隐忧，反映国外对中国形象认知的阶段性转变,1
629,如何准确区分健康服务利用中的机会不平等与结果不平等？传统基尼系数和集中指数无法识别造成医疗差异的不合理因素,我国健康服务利用的机会不平等研究——基于CHNS2009数据的实证分析,2014,629_1,基尼系数直接计算值高达0.462，表明医疗资源利用存在严重不平等现象,1,629_1,农民工群体医疗支出显著低于其他职业群体，尤其在农村地区，体现户籍制度导致的机会不平等直接效应,1
629,如何准确区分健康服务利用中的机会不平等与结果不平等？传统基尼系数和集中指数无法识别造成医疗差异的不合理因素,我国健康服务利用的机会不平等研究——基于CHNS2009数据的实证分析,2014,629_1,基尼系数直接计算值高达0.462，表明医疗资源利用存在严重不平等现象,1,629_2,共付率差异通过影响就医偏好产生间接效应：高报销群体更倾向门诊而非自我治疗，住院选择倾向更强，揭示报销政策对医疗行为的路径影响,1
1565,土地产权变革具有什么样的效应？,农地产权变革与乡村治理秩序_一个农政变迁的分析框架——基于湖北省Z村的个案扩展研究,2020,1565_1,Z村国土面积为10947亩，包含水田2826亩、旱地1318亩、林地4601亩、宅基地469.5亩、养殖水面1000亩。,1,1565_4,乡村经济能人CX创办农家乐，利用蓝莓基地和稻虾养殖吸引游客，反映产业融合催生新型服务业。,1
1565,土地产权变革具有什么样的效应？,农地产权变革与乡村治理秩序_一个农政变迁的分析框架——基于湖北省Z村的个案扩展研究,2020,1565_1,Z村国土面积为10947亩，包含水田2826亩、旱地1318亩、林地4601亩、宅基地469.5亩、养殖水面1000亩。,1,1565_1,Z村林权改革通过确权明确村民林地使用权和收益权，促使BL生态农业公司流转1000亩山林发展有机蓝莓，并带动政府3000万基础设施投资。,1
1867,地方政府如何自下而上进入国家改革视野并获得持续性行政授权以实现内生型经济发展？,上下互动式扩权_内生型经济发展中的地方政府行为逻辑——对昆山经济发展的长时段考察,2022,1867_3,2013年昆山试验区设立时建立部省际联席会议制度，由国家发改委牵头24个中央部委参与,1,1867_1,昆山政府于1984年自费建设全国首个开发区，通过横向学习深圳蛇口、上海闵行等开发区经验，在无上级授权情况下突破制度限制，最终在1992年借邓小平南巡讲话契机实现开发区国家化,1
1339,不同城乡统筹模式是否对健康公平产生差异化影响？,统筹城乡居民大病保险制度效应研究,2019,1339_5,泰尔指数显示贵阳市组内不平等程度为0.032，组间不平等为0.015；黔西南州组内为0.028，组间为0.011,1,1339_1,黔西南布依族苗族自治州采用'一元制模式'实现城乡居民医保基金统一管理，建立城乡无差别的等额筹资机制和统一补偿制度,1
1867,地方政府如何自下而上进入国家改革视野并获得持续性行政授权以实现内生型经济发展？,上下互动式扩权_内生型经济发展中的地方政府行为逻辑——对昆山经济发展的长时段考察,2022,1867_4,截至2019年底，昆山综保区参加增值税一般纳税人资格试点的企业累计销售额超500亿元人民币,1,1867_1,昆山政府于1984年自费建设全国首个开发区，通过横向学习深圳蛇口、上海闵行等开发区经验，在无上级授权情况下突破制度限制，最终在1992年借邓小平南巡讲话契机实现开发区国家化,1
2062,相对贫困治理阶段将塑造怎样的治理模式及其理论价值？,共同富裕背景下相对贫困治理的实践类型及其机制,2023,2062_2,G省2018年提前实现全省贫困人口脱贫，2021年完成2277个相对贫困村和161.5万相对贫困人口脱贫目标。,1,2062_1,G省作为案例地，其不同区域经济发展状况、自然地理条件、公共服务水平的梯度差异明显，且自2016年率先探索相对贫困治理，积累大量政策文本和一手材料。,1
2062,相对贫困治理阶段将塑造怎样的治理模式及其理论价值？,共同富裕背景下相对贫困治理的实践类型及其机制,2023,2062_2,G省2018年提前实现全省贫困人口脱贫，2021年完成2277个相对贫困村和161.5万相对贫困人口脱贫目标。,1,2062_4,F市易地搬迁社区干部反映搬迁居民就业未落实、社区公共事务参与度低，揭示内源诱发型相对贫困治理难点。,1
2062,相对贫困治理阶段将塑造怎样的治理模式及其理论价值？,共同富裕背景下相对贫困治理的实践类型及其机制,2023,2062_2,G省2018年提前实现全省贫困人口脱贫，2021年完成2277个相对贫困村和161.5万相对贫困人口脱贫目标。,1,2062_3,Y县山区居民因地理劣势导致生计以第一产业为主，收入来源单一且抗风险能力弱，体现资源环境约束型贫困。,1
1551,管区制度在基层治理中发挥何种独特作用，使其成为基层政府突破组织法约束进行纵向扩张的实践载体？,基层政府“逆扁平化”组织扩张的多重逻辑——基于“管区制度”的案例研究,2020,1551_2,山东省平度市TZ镇管辖93个行政村，招远市XD镇管辖78个行政村，黄岛区CJL街道管辖40个社区且人口达23万人。,1,1551_1,平度市TZ镇S管区作为信息中介型管区，通过下沉干部协调村内矛盾、处理纠纷，并利用信息优势反馈政策执行效果，解决管辖半径大导致的信息传递低效问题。,1
724,政社合作共生关系对基层治理中行政权力与社会自治的有机团结作用路径？,政社合作与国家能力建设——基层社会管理创新的实践考察,2014,724_3,杭州市自2008年起出台三级政策文件（市级、区级、街道级）支持社会组织发展。,1,724_2,四点半课堂引入案例：针对双职工家庭诉求，K街道从西湖区引入专业服务机构，协调社区提供免费场地，参照市场价格将服务费从1000元/月降至500元/月，并通过社区公告建立组织合法性，最终促成政府、组织、居民三方共赢。,1
2199,如何从实践与理论的互促演进中理解下乡干部优化乡村治理结构的实践逻辑,嵌入式统合：新时代干部下乡优化乡村治理结构的实践逻辑,2024,2199_4,观村驻村干部包含国家公职人员、企事业单位职工、地方政府聘用人员等四类来源,1,2199_3,观村通过'党总支+两站一中心'机制实现治理主体统合，例如扶贫工作站整合单位资源推进千亩果园等项目,1
2202,探索和实施有效的农村改革策略，以实现农民共同富裕，推动国家整体现代化进程,“三位一体”模式下的农村革新——政府、合作社与农户协同发展研究,2024,2202_4,市级农合联理事会37人中农民代表占比89.2%，常务理事会11名农民代表占比73.3%,1,2202_3,创建“瓯越鲜风”区域公用品牌，吸纳42家农业龙头企业创建“云江丰味”品牌并采用电商促销,1
2181,这些因素是如何影响政社合作的？,政社合作模式的类型及其内在逻辑研究,2024,2181_1,A救援协会成立于2013年，领导层和理事会共有12人，正式会员230余名,1,2181_4,D排水救援队与市应急管理局在城市内涝治理中的放权式合作,1
2181,这些因素是如何影响政社合作的？,政社合作模式的类型及其内在逻辑研究,2024,2181_1,A救援协会成立于2013年，领导层和理事会共有12人，正式会员230余名,1,2181_1,A救援协会与市应急管理局在一般社会意外事故救援中的象征式合作,1
804,绩效管理与考核的制度体系设计存在脱离体制现状问题，表现为地方政府未摆脱'万能政府'束缚、预算管理粗放随意、目标决策'失约'现象普遍等。,实践者的困惑与期待——基于政府绩效管理与考核推行运用的现实思考,2015,804_2,中央政治局审议通过《关于推进领导干部能上能下的若干规定（试行）》，要求对不作为干部进行调整。,1,804_2,'四数法'在经济发展指标考核中的应用案例，通过区域总数、历年基数、形势变数和相关参数的综合运用，提升绩效评价客观性。,1
